Index, "Year", "Movie"
 1, 1928, "The Last Command
 2, 1929, "In Old Arizona"
 3, 1930, "Disraeli"
 4, 1931, "A Free Soul"
 5, 1932, "The Champ"
 6, 1933, "Dr. Jekyll and Mr. Hyde"
 7, 1934, "The Private Life of Henry VIII"
 8, 1935, "It Happened One Night"
 9, 1936, "The Informer"	
10, 1937, "The Story of Louis Pasteur"	
11, 1938, "Captains Courageous"
12, 1939, "Boys Town"
13, 1940, "Goodbye
14, 1941, "The Philadelphia Story"
15, 1942, "Sergeant York"
16, 1943, "Yankee Doodle Dandy"	
17, 1944, "Watch on the Rhine"	
18, 1945, "Going My Way"
19, 1946, "The Lost Weekend" 	
20, 1947, "The Best Years of Our Lives"
21, 1948, "A Double Life"
22, 1949, "Hamlet"
23, 1950, "All the King's Men"
24, 1951, "Cyrano de Bergerac"
25, 1952, "The African Queen"
26, 1953, "High Noon"
27, 1954, "Stalag 17"
28, 1955, "On the Waterfront"
29, 1956, "Marty"
30, 1957, "The King and I"
31, 1958, "The Bridge on the River Kwai"
32, 1959, "Separate Tables"
33, 1960, "Ben-Hur"
34, 1961, "Elmer Gantry"
35, 1962, "Judgment at Nuremberg"	
36, 1963, "To Kill a Mockingbird"
37, 1964, "Lilies of the Field"
38, 1965, "My Fair Lady"
39, 1966, "Cat Ballou"	
40, 1967, "A Man for All Seasons"
41, 1968, "In the Heat of the Night"	
42, 1969, "Charly"
43, 1970, "True Grit"
44, 1971, "Patton"
45, 1972, "The French Connection"
46, 1973, "The Godfather"
47, 1974, "Save the Tiger"
48, 1975, "Harry and Tonto"
49, 1976, "One Flew Over the Cuckoo's Nest"
50, 1977, "Network"
51, 1978, "The Goodbye Girl"
52, 1979, "Coming Home"
53, 1980, "Kramer vs. Kramer"
54, 1981, "Raging Bull"
55, 1982, "On Golden Pond"
56, 1983, "Gandhi"
57, 1984, "Tender Mercies"
58, 1985, "Amadeus"
59, 1986, "Kiss of the Spider Woman"
60, 1987, "The Color of Money"
61, 1988, "Wall Street"
62, 1989, "Rain Man"
63, 1990, "My Left Foot"
64, 1991, "Reversal of Fortune"
65, 1992, "The Silence of the Lambs"
66, 1993, "Scent of a Woman"
67, 1994, "Philadelphia"
68, 1995, "Forrest Gump"
69, 1996, "Leaving Las Vegas"
70, 1997, "Shine"
71, 1998, "As Good as It Gets"
72, 1999, "Life Is Beautiful"
73, 2000, "American Beauty"
74, 2001, "Gladiator"
75, 2002, "Training Day"	
76, 2003, "The Pianist"
77, 2004, "Mystic River"
78, 2005, "Ray"
79, 2006, "Capote"
80, 2007, "The Last King of Scotland"	
81, 2008, "There Will Be Blood"
82, 2009, "Milk"
83, 2010, "Crazy Heart"
84, 2011, "The King's Speech"	
85, 2012, "The Artist"
86, 2013, "Lincoln"
87, 2014, "Dallas Buyers Club"
88, 2015, "The Theory of Everything"	
89, 2016, "The Revenant"
